;;;Septiembre 2021;;;Oct-21;;;Nov-21;;
;Prob_Deserción;Número_Cliente;Se Mantiene como pequeña?;Migro a Otro Tipo de Crédito?;Mantiene Crédito con Caja Maynas?;Se Mantiene como pequeña?;Migro a Otro Tipo de Crédito?;Mantiene Crédito con Caja Maynas?;Se Mantiene como pequeña?;Migro a Otro Tipo de Crédito?;Mantiene Crédito con Caja Maynas?
0;0.797102624;1090100000141;Si;No;Si;Si;No;Si;Si;No;Si
185;0.797102624;1090100265896;Si;No;Si;Si;No;Si;Si;No;Si
155;0.797102624;1090100214469;Si;No;Si;Si;No;Si;Si;No;Si
156;0.797102624;1090100214591;Si;No;Si;Si;No;Si;Si;No;Si
157;0.797102624;1090100214728;Si;No;Si;Si;No;Si;Si;No;Si
158;0.797102624;1090100219061;Si;No;Si;Si;No;Si;Si;No;Si
159;0.797102624;1090100221970;Si;No;Si;Si;No;Si;Si;No;Si
160;0.797102624;1090100222607;Si;No;Si;Si;No;Si;Si;No;Si
161;0.797102624;1090100223662;Si;No;Si;Si;No;Si;Si;No;Si
162;0.797102624;1090100227391;Si;No;Si;Si;No;Si;Si;No;Si
163;0.797102624;1090100228800;No;No;No;No;No;No;No;No;No
164;0.797102624;1090100231274;Si;No;Si;Si;No;Si;Si;No;Si
165;0.797102624;1090100232378;Si;No;Si;Si;No;Si;Si;No;Si
166;0.797102624;1090100232483;Si;No;Si;Si;No;Si;Si;No;Si
167;0.797102624;1090100235784;Si;No;Si;Si;No;Si;Si;No;Si
168;0.797102624;1090100235857;Si;No;Si;Si;No;Si;Si;No;Si
170;0.797102624;1090100237957;No;No;No;No;No;No;No;No;No
171;0.797102624;1090100242373;Si;No;Si;Si;No;Si;Si;No;Si
172;0.797102624;1090100243566;Si;No;Si;Si;No;Si;Si;No;Si
173;0.797102624;1090100246034;Si;No;Si;Si;No;Si;No;No;No
174;0.797102624;1090100246433;Si;No;Si;Si;No;Si;Si;No;Si
175;0.797102624;1090100247791;Si;No;Si;Si;No;Si;Si;No;Si
176;0.797102624;1090100248711;Si;No;Si;Si;No;Si;Si;No;Si
177;0.797102624;1090100248754;No;No;No;No;No;No;No;No;No
178;0.797102624;1090100251453;Si;No;Si;Si;No;Si;Si;No;Si
179;0.797102624;1090100252140;Si;No;Si;Si;No;Si;Si;No;Si
180;0.797102624;1090100252450;No;No;No;No;No;No;No;No;No
181;0.797102624;1090100252972;Si;No;Si;Si;No;Si;Si;No;Si
182;0.797102624;1090100256986;Si;No;Si;Si;No;Si;Si;No;Si
154;0.797102624;1090100214388;Si;No;Si;Si;No;Si;Si;No;Si
153;0.797102624;1090100212423;Si;No;Si;Si;No;Si;Si;No;Si
152;0.797102624;1090100210757;Si;No;Si;Si;No;Si;Si;No;Si
137;0.797102624;1090100199222;Si;No;Si;Si;No;Si;Si;No;Si
124;0.797102624;1090100166146;Si;No;Si;No;No;No;No;No;No
125;0.797102624;1090100172171;Si;No;Si;Si;No;Si;Si;No;Si
126;0.797102624;1090100172481;Si;No;Si;Si;No;Si;Si;No;Si
127;0.797102624;1090100179639;Si;No;Si;Si;No;Si;Si;No;Si
128;0.797102624;1090100181463;Si;No;Si;Si;No;Si;Si;No;Si
129;0.797102624;1090100183172;Si;No;Si;Si;No;Si;Si;No;Si
130;0.797102624;1090100183814;No;No;No;No;No;No;No;No;No
132;0.797102624;1090100186431;Si;No;Si;Si;No;Si;Si;No;Si
133;0.797102624;1090100189511;Si;No;Si;Si;No;Si;Si;No;Si
134;0.797102624;1090100194891;Si;No;Si;Si;No;Si;Si;No;Si
135;0.797102624;1090100195146;Si;No;Si;Si;No;Si;Si;No;Si
136;0.797102624;1090100197602;Si;No;Si;Si;No;Si;Si;No;Si
138;0.797102624;1090100201685;Si;No;Si;Si;No;Si;Si;No;Si
151;0.797102624;1090100210463;Si;No;Si;Si;No;Si;Si;No;Si
139;0.797102624;1090100202215;Si;No;Si;Si;No;Si;Si;No;Si
140;0.797102624;1090100202738;Si;No;Si;Si;No;Si;Si;No;Si
141;0.797102624;1090100203076;Si;No;Si;Si;No;Si;Si;No;Si
142;0.797102624;1090100203327;No;No;No;No;No;No;No;No;No
143;0.797102624;1090100205079;Si;No;Si;Si;No;Si;Si;No;Si
144;0.797102624;1090100207870;No;No;No;Si;No;Si;Si;No;Si
145;0.797102624;1090100208451;Si;No;Si;Si;No;Si;Si;No;Si
146;0.797102624;1090100208779;Si;No;Si;Si;No;Si;Si;No;Si
147;0.797102624;1090100208841;Si;No;Si;Si;No;Si;Si;No;Si
148;0.797102624;1090100209813;Si;No;Si;Si;No;Si;Si;No;Si
149;0.797102624;1090100209830;Si;No;Si;Si;No;Si;Si;No;Si
150;0.797102624;1090100210234;Si;No;Si;Si;No;Si;Si;No;Si
183;0.797102624;1090100258962;Si;No;Si;Si;No;Si;Si;No;Si
186;0.797102624;1090100266256;Si;No;Si;Si;No;Si;Si;No;Si
122;0.797102624;1090100161462;Si;No;Si;Si;No;Si;Si;No;Si
188;0.797102624;1090100267406;No;Si;Si;No;Si;Si;No;Si;Si
222;0.797102624;1090100322440;No;Si;Si;No;Si;Si;No;Si;Si
223;0.797102624;1090100326003;Si;No;Si;Si;No;Si;Si;No;Si
224;0.797102624;1090100326925;Si;No;Si;No;No;No;No;No;No
225;0.797102624;1090100327328;Si;No;Si;Si;No;Si;Si;No;Si
226;0.797102624;1090100330213;Si;No;Si;Si;No;Si;Si;No;Si
227;0.797102624;1090100331074;Si;No;Si;Si;No;Si;Si;No;Si
229;0.797102624;1090100336424;Si;No;Si;Si;No;Si;Si;No;Si
230;0.797102624;1090100338001;Si;No;Si;Si;No;Si;Si;No;Si
231;0.797102624;1090100339342;Si;No;Si;Si;No;Si;Si;No;Si
232;0.797102624;1090100340545;Si;No;Si;Si;No;Si;Si;No;Si
233;0.797102624;1090100343790;Si;No;Si;No;No;No;No;No;No
234;0.797102624;1090100344494;No;Si;Si;No;Si;Si;No;Si;Si
235;0.797102624;1090100345709;Si;No;Si;Si;No;Si;Si;No;Si
236;0.797102624;1090100346268;Si;No;Si;Si;No;Si;Si;No;Si
237;0.797102624;1090100349534;Si;No;Si;Si;No;Si;Si;No;Si
238;0.797102624;1090100350974;Si;No;Si;Si;No;Si;Si;No;Si
239;0.797102624;1090100352039;Si;No;Si;Si;No;Si;Si;No;Si
241;0.797102624;1090100355500;Si;No;Si;Si;No;Si;Si;No;Si
242;0.797102624;1090100356115;Si;No;Si;Si;No;Si;Si;No;Si
